,name,description
274,Amaze Entertainment,
275,Imagic,
276,Bizarre Creations,
277,EA Seattle,
278,ParityBit,
279,Creative Assembly,
280,Blue Planet Software,
281,Endemol,
282,Big Grub,
283,Bemani,
284,Yuke's Osaka,
285,Helixe,
286,ZeniMax Online Studios,
287,Midway Amusement Games,
288,Team Ninja,
289,Croteam,
290,Flagship,
291,Psyonix Studios,
292,Landfall West,
293,Ndemic Creations,
294,Spike,
295,TOSE Software,
296,Midway Studios San Diego,
297,Acquire,
298,Check Six Games,
299,Paradox Interactive,
300,Arkane Studios,
301,"Iwasaki Electronics Co., Ltd.",
302,Aki Corporation,
303,Jellyvision,
304,Nintendo R&D1 / Intelligent Systems,
305,Art,
306,Arzest,
307,Red Storm Entertainment,
308,Sculptured Software,
309,Sega-AM2,
310,NanaOn-Sha,
311,Running With Scissors,
312,TT Fusion,
313,Supermassive Games Ltd.,
314,EA Bright Light,
315,Papaya Studios,
316,FarSight Studios,
317,KCEJ,
318,Midway Games,
319,Bossa Studios,
320,Inland Productions,
321,Hinterland Studio Inc.,
322,Krome Studios,
323,Free Lives Games,
324,"Luxoflux, Inc.",
325,SCEI,
326,Tango Gameworks,
327,Rockstar Vancouver,
328,Good-Feel,
329,Disney Interactive Studios,
330,Ambrella,
331,MachineGames,
332,Sucker Punch,
333,M2,
334,Red Zone Entertainment,
335,Ubisoft Reflections,
336,Climax Group,
337,Genuine,
338,Moon Studios,
339,Acclaim Entertainment,
340,AKI Corporation / EA Canada,
341,VIS Entertainment,
342,Helixe / Altron,
343,Terminal Reality,
344,Capcom/Disney,
345,Realtime Worlds,
346,Various,
347,Big Ape Productions,
348,Monolith Soft,
349,CyberConnect2,
350,Studio MDHR,
351,Eidos Montreal,
352,989 Studios,
353,Griptonite Games,
354,Rebellion Developments,
355,Global Star,
356,Magic Pockets,
357,3d6 Games,
358,Nihilistic,
359,ArtePiazza,
360,Square,
361,High Horse Entertainment,
362,Compile,
363,Greenheart Games,
364,Firaxis Games,
365,Cauldron,
366,Sony Computer Entertainment America,
367,Cooking Mama Ltd.,
368,Larian Studios,
369,Webfoot Technologies,
370,Point of View,
371,Uber Entertainment,
372,EA Chicago,
373,Paradigm Entertainment,
374,HB Studios Multimedia,
375,General Entertainment,
376,Ninja Theory,
377,PopCap Games,
378,Atlus,
379,EA Montreal,
380,Micronics,
381,SCE Japan Studio,
382,Frontier Studio,
383,SCEA Bend Studio / Naughty Dog,
384,CAProduction,
385,Konami Computer Entertainment Shinjuku,
386,Relentless Software,
387,Altron,
388,People Can Fly / Epic Games,
389,Sonic Team/Dimps Corporation,
390,KCET,
391,Mind Candy,
392,Pivotal Games,
393,BestGameEver.com,
394,Klei Entertainment,
395,Fall Line Studio,
396,Ubisoft Montreal / Red Storm Entertainment,
397,Creatures Inc.,
398,Project Soul,
399,Tecmo,
400,Jupiter Multimedia,
401,Red Line Studios,
402,kChamp Games,
403,Press Start Inc.,
404,The Code Monkeys,
405,Hyde,
406,Amusement Vision,
407,Visceral Games,
408,Gremlin Interactive,
409,Genki,
410,PlatinumGames,
411,GungHo Online Entertainment,
412,FireFly Studios,
413,Blue Castle Games,
414,4a-games,
415,Undead Labs,
416,Barking Lizards,
417,Hellbent Games,
418,Technos Japan Corporation,
419,Zoe Mode,
420,Kush Games,
421,Ubisoft Shanghai,
422,MTO,
423,WayForward,
424,Crate Entertainment,
425,Arc System Works,
426,Kaos Studios,
427,Tom Create,
428,2K Boston / 2K Australia / 2K Marin,
429,Blitz Games,
430,Big Park,
431,Ubisoft San Francisco,
432,Sand Grain Studios,
433,Danger Close Games,
434,Barnstorm Games,
435,Incognito Inc.,
436,SCEA,
437,Blue Byte Studio,
438,tri-Ace,
439,"Z-Axis, Ltd.",
440,"Livesay Technologies, Inc.",
441,Spike Chunsoft,
442,Namco Bandai,
443,Taito Corporation,
444,Nintendo SPD Production Group 1/Team Ninja,
445,Paradox Development,
446,Criterion,
447,Pitbull Syndicate,
448,Codemasters Birmingham,
449,Level 5/Studio Ghibli,
450,Namco Tales Studio,
451,Natsume,
452,Acclaim Studios Salt Lake City,
453,Steel Monkeys,
454,Rockstar Leeds/North,
455,RobTop Games,
456,Acclaim Studios Austin,
457,Evil Tortilla Games,
458,Cavia Inc.,
459,Ubisoft Sofia,
460,Mouldy Toof Studios,
461,Page 44 Studios,
462,SIE Japan Studio,
463,Black Lantern Studios,
464,Pocket Studios,
465,Melbourne House,
466,Rocket Company,
467,Snowblind Studios,
468,3DO,
469,Polytron Corporation,
470,Advanced Technology Group,
471,"Yuke's Co., Ltd.",
472,3G Studios,
473,Tamsoft,
474,Shift,
475,Sports Interactive,
476,Artech Studios,
477,Slant Six Games,
478,Griptonite Studio,
479,Capcom Production Studio 3 / Flagship,
480,Pack-In Video,
481,Electronic Arts,
482,Chris Sawyer,
483,49Games,
484,Oddworld Inhabitants,
485,High Voltage Software,
486,Savage Entertainment,
487,Sony Computer Entertainment,
488,Alchemist,
489,Monomi Park,
490,neo Software,
491,Kodiak Interactive,
492,FreeStyleGames,
493,Majesco Games,
494,Locomotive Games,
495,HB Studios,
496,Surreal Software,
497,Spike / Bandai Namco Games,
498,HFM Games,
499,Left Field Productions,
500,Sinister Games,
501,Big Fish Games,
502,Infogrames,
503,JAKKS Pacific,
504,Light Weight,
505,SIE San Diego Studio,
506,Sega-AM3,
507,Motivetime,
508,City Interactive,
509,Beam Team Games,
510,Midway Games West,
511,ASCII Entertainment,
512,Sammy Studios,
513,Syrox Developments,
514,Dodge Roll,
515,K2 LLC,
516,Team ICO,
517,Konami Computer Entertainment Hawaii,
518,Funcom Oslo A/S,
519,Day 1 Studios,
520,The Creative Assembly,
521,Entrada Interactive,
522,Mega Crit Games,
523,Giants Software,
524,Ruffian Games,
525,Mercury Steam,
526,G-Craft,
527,Level 5/Brownie Brown,
528,Tantalus Interactive,
529,Q Entertainment,
530,Robot Entertainment,
531,Bandai Namco,
532,Warhorse Studios,
533,Relic Entertainment,
534,O-TWO inc.,
535,Sony Online Entertainment,
536,EA Salt Lake,
537,Rockstar Vancouver/Mad Doc Software,
538,Headgate,
539,Freebird Games,
540,Big Sky Software,
541,Vingt-et-un Systems,
542,bexide,
543,EA UK,
544,Foundation 9,
545,Chat Noir,
546,Team17 Software,
547,Arika,
548,Incognito Entertainment,
549,Barnhouse Effect,
550,Vigil Games,
551,Starbreeze Studios,
552,"Cavia, inc.",
553,Yukie's Osaka,
554,Hudson Soft / West One,
555,ARC Entertainment,
556,Namco / NOW Production,
557,Gas Powered Games,
558,Terry Cavanagh,
559,Wolfteam,
560,Iron Lore Entertainment,
561,Longtail Studios,
562,Studio Liverpool,
563,Bigbig Studios,
564,Splash Damage,
565,Red Storm Entertainment / Ubisoft Paris,
566,Sanuk Games,
567,Tecmo Koei Games,
568,People Can Fly,
569,8ting/Raizing,
570,Supersonic Software,
571,Ubisoft Annecy,
572,Number None Inc.,
573,Turtle Rock Studios,
574,Razorworks Studios,
575,Sunflower Studios,
576,Related Designs,
577,Stainless Steel Studios,
578,Square Enix / Think and Feel Inc.,
579,Square-Enix,
580,"mixi, Inc",
581,Gray Matter Studios,
582,Sega WOW Overworks,
583,Mindscape Inc.,
584,Team Cherry,
585,989 Sports,
586,Ubisoft Toronto,
587,Free Radical Design,
588,Oddworld Inhabitans,
