,name,description
299,Jorudan,
300,New,
301,Polytron Corporation,
302,Two Tribes,
303,Kalypso,
304,Koei Tecmo,
305,Brash Entertainment,
306,DSI Games,
307,ITT Family Games,
308,Puppy Games,
309,Astragon,
310,UFO Interactive,
311,SNK Playmore,
312,New Reality Games,
313,Fireproof Games,
314,Broken Rules,
315,Koch Media,
316,Jackbox Games,
317,BPS,
318,Arc System Works,
319,Vlambeer,
320,P2 Games,
321,NewKidCo,
322,Kokopeli Digital Studios,
323,Mumbo Jumbo,
324,CokeM Interactive,
325,CBS Electronics,
326,SquareSoft,
327,Tribute Games,
328,Mad Catz,
329,Magix,
330,Sam Barlow,
331,Ironhide Game Studio,
332,Spike,
333,Simon & Schuster Interactive,
334,Out of crumpet's:,
335,Ysbryd Games,
336,Sold Out,
337,Angel Studios,
338,Lince Works,
339,A1 Games,
340,Team17 Digital Ltd,
341,Avanquest,
342,GSP,
343,Wargaming.net,
344,SNK,
345,Little Orbit,
346,Hamster Corporation,
347,Red Mile Entertainment,
348,Seta Corporation,
349,Nippon Columbia,
350,Nichibutsu,
351,Zono Incorporated,
352,Hect,
353,Night Node Software,
354,Graffiti,
355,Ripcord Games,
356,Trickjump Games Ltd,
357,Back To Basics Gaming,
358,EQ Games,
359,Gamecock,
360,Digital Leisure Inc.,
361,Snail Games USA,
362,NEC,
363,Cherry Pop Games,
364,Sidhe Interactive,
365,Axela,
366,Neocore Games,
367,WolfgangIs,
368,ArtDink,
369,D-Pad Studio,
370,Gust,
371,DL Softworks,
372,Home Entertainment Suppliers,
373,Proletariat Inc.,
374,NEC Interchannel,
375,Headup Games,
376,AGM Playism,
377,Kasedo Games,
378,Coconut Island Games,
379,SSI,
380,Dagestan Technology,
381,White Dog,
382,Majesco Entertainment,
383,Milestone S.r.l.,
384,Milkstone Studios,
385,TopWare Interactive,
386,Powerhoof Pty Ltd,
387,ValuSoft,
388,Destructive Creations,
389,Might and Delight,
390,CharlieH,
391,Big Sandwich Games,
392,Necrophone Games,
393,Sometimes You,
394,Real Dynamics,
395,O-Games,
396,Kadokawa Shoten,
397,Good Shepherd Entertainment,
398,Marvelous,
399,Irem Software Engineering,
400,Bold Games,
401,Plug In Digital,
402,Iceberg Interactive,
403,Detn8 Games,
404,Bomb,
405,Asteroid Base,
406,Rondomedia,
407,Behold Studios,
408,Activision Value,
409,Matt Makes Games Inc.,
410,inXile Entertainment,
411,Sears,
412,Pioneer LDC,
413,Game-Labs,
414,On Demand,
415,AQ Interactive,
416,Avalanche Studios,
417,Kadokawa Games,
418,Kiss,
419,Oddworld Inhabitants,
420,Versus Evil,
421,Adult Swim,
422,Owlchemy Labs,
423,NCS,
424,Namco Networks America Inc.,
425,Falcom Corporation,
426,Xicat Interactive,
427,Strategy First,
428,GrabTheGames,
429,Over The Top Games,
430,Culture Brain,
431,DreamCatcher Interactive,
432,ARUSH Entertainment,
433,Shogakukan,
434,Acquire,
435,Merscom LLC,
436,Krillbite Studio,
437,Nippon Telenet,
438,TDK Core,
439,GR3 Project,
440,Pub Games,
441,Glaiel Games,
442,Victory Lap Games,
443,Zoo Games silver,
444,Gears for Breakfast,
445,Paramount Digital Entertainment,
446,Core Design Ltd.,
447,Dark Energy Digital,
448,Killmonday Games,
449,Dejobaan Games,
450,JoWood Productions,
451,Rooster Teeth Games,
452,Sound Source Interactive,
453,Asylum Entertainment,
454,Independent,
455,Marvelous Entertainment,
456,Curve Digital,
457,DarkGod,
458,GarageGames,
459,"H2 Interactive Co., Ltd.",
460,Thomas Happ Games,
461,Essential Games,
462,Trigger Apps,
463,AlienTrap Games,
464,Acid Wizard Studio,
465,Vatical Entertainment,
466,Galaxy Trail,
467,Refract Studios,
468,Playlogic Game Factory,
469,Milestone,
470,VR Sports,
471,PQube,
472,W!Games,
473,Compile Heart,
474,Big Ben Interactive,
475,Avalon Interactive,
476,Milestone S.r.l,
477,Endless Fluff Games,
478,System 3,
479,Bit Blot,
480,Jetdogs Studios,
481,Victor Interactive,
482,Viva Media,
483,Hothead Games,
484,FCI,
485,Aques,
486,Nitro+,
487,PlayV,
488,Rising Star Games,
489,Carbine Studios,
490,Bandai Visual,
491,Syscom,
492,Vir2L Studios,
493,YuPlay,
494,Idea Factory,
495,Revolution Software,
496,Over The Moon,
497,indiePub,
498,Media Factory,
499,Beatnik Games,
500,Dusenberry Martin Racing,
501,The Adventure Company,
502,Microids,
503,Indie Voyage,
504,Insomniac Games,
505,11 bit studios,
506,Gaijinworks,
507,ArtwareGames,
508,GameTrust,
509,Game Arts,
510,Bigben Interactive,
511,Idea Factory International,
512,Excalibur Publishing Limited,
513,Broccoli,
514,Tommo,
515,Dan Walters,
516,Sunsoft,
517,General Entertainment,
518,Imadio,
519,Capcom Entertainment,
520,Sony Music Entertainment,
521,Aquaplus,
522,Rain Games,
523,Legacy Interactive,
524,Nihon Falcom Corp,
525,Got Game Entertainment,
526,MLB Advanced Media,
527,Hitcents,
528,704Games,
529,1C Company,
530,Wadjet Eye Games,
531,Outright Games,
532,Black Bean Games,
533,U.S. Gold,
534,Nihon Falcom Corporation,
535,PM Studios,
536,Slitherine Software,
537,Gremlin Interactive Ltd,
538,Tru Blu Entertainment,
539,MTO,
540,Psyonix Studios,
541,Space Boat Studios,
542,Agharta Studio,
543,Alda Games,
544,Cleverweek,
545,Type-Moon,
546,Analgesic Productions,
547,ThinkOfGames,
548,Rainbow Games,
549,T&E Soft,
550,Frogmind,
551,Chubby Pixel,
552,Screen 7,
553,Lighthouse Games Studio,
554,JVC,
555,Brogames,
556,Wales Interactive Ltd.,
557,Metro 3D,
558,Secret Exit Ltd.,
559,Team Indev,
560,ZackBellGames,
561,Data East,
562,Merge Games,
563,Time Warner Interactive,
564,Gainax Network Systems,
565,Iceflake Studios,
566,Three Flip Studios,
567,Batterystaple Games,
568,Naarassusi Publisher,
569,Zachtronics Industries,
570,Bohemia Interactive,
571,Nippon Ichi Software,
572,Giorgi Abelashvili,
573,Northway Games,
