41;Call of Duty: Black Ops;call-of-duty-black-ops;3;2010.0;X360;M;http://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg;6;12.0
42;Pokemon Yellow: Special Pikachu Edition;pokemon-yellow-special-pikachu-edition;4;1999.0;GB;E;http://www.vgchartz.com/games/boxart/4260472ccc.jpg;0;2.0
43;Halo 3;halo-3;3;2007.0;X360;M;http://www.vgchartz.com/games/boxart/full_8373567AmericaFrontccc.jpg;3;18.0
44;Pokemon Omega Ruby/Pokemon Alpha Sapphire;pokmon-omega-ruby;4;2014.0;3DS;E;http://www.vgchartz.com/games/boxart/full_5184866AmericaFrontccc.png;0;2.0
45;Red Dead Redemption 2;red-dead-redemption-2;10;2018.0;PS4;M;http://www.vgchartz.com/games/boxart/full_4653215AmericaFrontccc.jpg;4;19.0
46;Call of Duty: Black Ops II;call-of-duty-black-ops-ii;3;2012.0;X360;M;http://www.vgchartz.com/games/boxart/full_1977964AmericaFrontccc.jpg;6;12.0
47;Call of Duty: Black Ops II;call-of-duty-black-ops-ii;3;2012.0;PS3;M;http://www.vgchartz.com/games/boxart/full_4649679AmericaFrontccc.png;6;12.0
48;Super Mario Odyssey;super-mario-odyssey;1;2017.0;NS;E10;http://www.vgchartz.com/games/boxart/full_1659701AmericaFrontccc.jpg;0;13.0
49;Call of Duty: Modern Warfare 2;call-of-duty-modern-warfare-2;3;2009.0;X360;M;http://www.vgchartz.com/games/boxart/full_809251AmericaFrontccc.jpg;6;17.0
50;Call of Duty: WWII;call-of-duty-wwii;3;2017.0;PS4;M;http://www.vgchartz.com/games/boxart/full_4380292AmericaFrontccc.jpg;6;20.0
51;Call of Duty: Modern Warfare 3;call-of-duty-modern-warfare-3;3;2011.0;PS3;M;http://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg;6;17.0
52;Super Smash Bros. Brawl;super-smash-bros-brawl;11;2008.0;Wii;T;http://www.vgchartz.com/games/boxart/full_4169332AmericaFrontccc.jpg;0;21.0
53;Grand Theft Auto III;grand-theft-auto-iii;9;2001.0;PS2;M;http://www.vgchartz.com/games/boxart/3570928ccc.jpg;4;22.0
54;New Super Mario Bros. 2;new-super-mario-bros-2;1;2012.0;3DS;E;http://www.vgchartz.com/games/boxart/full_9872028AmericaFrontccc.jpg;0;23.0
55;Portal 2;portal-2;3;2011.0;PC;E10;http://www.vgchartz.com/games/boxart/full_portal-2_617AmericaFront.jpg;10;14.0
56;Minecraft;minecraft;6;2013.0;X360;E10;http://www.vgchartz.com/games/boxart/full_7845034AmericaFrontccc.jpg;11;24.0
57;Super Mario Galaxy;super-mario-galaxy;1;2007.0;Wii;E;http://www.vgchartz.com/games/boxart/full_5542974AmericaFrontccc.jpg;0;25.0
58;Pokemon Heart Gold / Soul Silver Version;pokmon-heart-gold;4;2010.0;DS;E;http://www.vgchartz.com/games/boxart/full_2733841AmericaFrontccc.jpg;0;2.0
59;Call of Duty: Black Ops;call-of-duty-black-ops;3;2010.0;PS3;M;http://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg;6;12.0
60;Grand Theft Auto V;grand-theft-auto-v;9;2015.0;PC;M;http://www.vgchartz.com/games/boxart/full_9031276AmericaFrontccc.jpg;4;7.0
61;Super Mario 3D Land;super-mario-3d-land;1;2011.0;3DS;E;http://www.vgchartz.com/games/boxart/full_super-mario-3dland_167AmericaFront.jpg;0;25.0
62;Animal Crossing: New Leaf;animal-crossing-new-leaf;8;2013.0;3DS;E;http://www.vgchartz.com/games/boxart/full_7774244AmericaFrontccc.jpg;0;0.0
