0;Sports
1;Platform
2;Racing
3;Shooter
4;Role-Playing
5;Puzzle
6;Misc
7;Party
8;Simulation
9;Action
10;Action-Adventure
11;Fighting
12;Strategy
13;Adventure
14;Music
15;MMO
16;Sandbox
17;Visual Novel
18;Board Game
19;Education
